ADDRESS / PLACE,LAT,LON,Violent Crime Rate
"Memphis, Tennessee",35.1335022,-89.9668758,1720.08672
"Little Rock, Arkansas",34.7465071,-92.2896267,1439.019469
"Detroit, Michigan",42.3315509,-83.0466403,1410.700185
"Tacoma, Washington",47.2455013,-122.438329,1191.981461
"Pueblo, Colorado",38.2544472,-104.609141,1184.606293
"St. Louis, Missouri",38.6319657,-90.2428756,1083.455146
"Kansas City, Missouri",39.100105,-94.5781416,1081.91191
"Cleveland, Ohio",41.4996574,-81.6936772,1020.792854
"Rockford, Illinois",42.2713945,-89.093966,1019.947649
"Springfield, Missouri",37.1968298,-93.2946576,1019.599025
"Albuquerque, New Mexico",35.2128709,-106.7132485,974.9232026
"Stockton, California",37.9577016,-121.2907796,917.8305016
"Minneapolis, Minnesota",44.9772995,-93.2654692,913.1899385
"Lansing, Michigan",42.7337712,-84.5553805,909.5151232
"South Fulton, Georgia",33.5902659,-84.6712292,881.2642642
"Dayton, Ohio",39.7589478,-84.1916069,872.0493159
"Aurora, Colorado",39.7405111,-104.8309947,863.1698134
"Houston, Texas",29.7589382,-95.3676974,842.8335211
"Milwaukee, Wisconsin",43.0349931,-87.922497,842.1858067
"Lubbock, Texas",33.5635206,-101.879336,810.9327418
"Baton Rouge, Louisiana",30.4847855,-91.1867561,793.8182152
"Baltimore, Maryland",39.2908816,-76.610759,787.928255
"Chattanooga, Tennessee",35.0457219,-85.3094883,781.3255147
"Tulsa, Oklahoma",36.1563122,-95.9927436,757.9374405
"Denver, Colorado",39.7392364,-104.984862,746.410811
"Billings, Montana",45.7874957,-108.49607,735.4408111
"North Charleston, South Carolina",32.8546197,-79.9748103,730.2164216
"Grand Rapids, Michigan",42.9632405,-85.6678639,728.8354531
"Salt Lake City, Utah",40.7596198,-111.8867975,724.5215584
"Beaumont, Texas",30.0860459,-94.1018461,722.5258045
"Springfield, Massachusetts",42.1018764,-72.5886727,696.959078
"Winston-Salem, North Carolina",36.0998131,-80.2440518,695.2055616
"Metropolitan Nashville Police Department, Tennessee",36.1515323,-86.8555486,692.4884839
"Mobile, Alabama",30.6867339,-88.0848929,657.4884518
"Cincinnati, Ohio",39.1014537,-84.5124602,645.5775807
"Buffalo, New York",42.8867166,-78.8783922,641.0332179
"Atlanta, Georgia",33.7489924,-84.3902644,631.146
"Knoxville, Tennessee",35.9603948,-83.9210261,628.319832
"Corpus Christi, Texas",27.7635302,-97.4033191,599.0204468
"Seattle, Washington",47.6038321,-122.330062,598.9217378
"Rochester, New York",43.157285,-77.615214,595.4038147
"Modesto, California",37.6390972,-120.9968782,588.1647968
"San Antonio, Texas",29.4246002,-98.4951405,586.9932247
"Anaheim, California",33.8347516,-117.911732,585.9820265
"Charlotte-Mecklenburg, North Carolina",35.2272086,-80.8430827,575.5624387
"Dallas, Texas",32.7762719,-96.7968559,571.3078636
"Washington, DC",38.8950368,-77.0365427,563.5400343
"Toledo, Ohio",41.6529143,-83.5378173,561.2337511
"St. Paul, Minnesota",44.9497487,-93.0931028,558.1419358
"Norfolk, Virginia",36.8448348,-76.2863999,543.9444426
"Brockton, Massachusetts",42.0834335,-71.0183787,527.2792391
"Las Cruces, New Mexico",32.3140354,-106.779807,526.4401493
"Lakewood, Colorado",39.7085736,-105.0846694,518.9429918
"Greeley, Colorado",40.4233142,-104.7091322,516.8986083
"Durham, North Carolina",35.996653,-78.9018053,514.4505107
"Davenport, Iowa",41.5235808,-90.5770967,510.7142157
"Spokane, Washington",47.6571934,-117.42351,509.975643
"Oklahoma City, Oklahoma",35.4729886,-97.5170536,501.4369358
"Santa Maria, California",34.9531295,-120.435857,493.9199023
"Waco, Texas",31.549333,-97.1466695,492.0014816
"Evansville, Indiana",37.9747645,-87.5558483,490.5277402
"Colorado Springs, Colorado",38.8339578,-104.825348,487.1641156
"Fargo, North Dakota",46.877229,-96.789821,480.705034
"Fresno, California",36.7394421,-119.7848307,468.2993743
"Independence, Missouri",39.0924792,-94.4137923,457.34449
"Arlington, Texas",32.7355816,-97.1071186,446.656045
"Tempe, Arizona",33.4255056,-111.9400091,427.2366054
"Killeen, Texas",31.1171441,-97.727796,419.1628227
"Pasadena, Texas",29.6910753,-95.2092076,404.2080467
"Tyler, Texas",32.3512601,-95.3010624,403.9923954
"Visalia, California",36.3302284,-119.292058,401.9782917
"Boston, Massachusetts",42.3554334,-71.060511,401.6981716
"Murfreesboro, Tennessee",35.8460396,-86.3921096,398.3244674
"Austin, Texas",30.2711286,-97.7436995,389.3890261
"Fort Worth, Texas",32.753177,-97.3327459,384.6551502
"Salem, Oregon",44.9391565,-123.033121,384.6024278
"Mesquite, Texas",32.7666103,-96.599472,383.1751285
"Wichita Falls, Texas",33.9004572,-98.5020777,379.2619562
"Las Vegas Metropolitan Police Department, Nevada",36.106628,-115.224718,375.5442811
"Newark, New Jersey",40.735657,-74.1723667,371.8152515
"Wilmington, North Carolina",34.2257282,-77.9447107,369.9934521
"Sioux Falls, South Dakota",43.5488256,-96.7307737,367.0864925
"Warren, Michigan",42.4932575,-83.0062746,366.0796336
"Raleigh, North Carolina",35.7803977,-78.6390989,361.1284642
"El Cajon, California",32.7947731,-116.962526,357.4733356
"Odessa, Texas",31.8457149,-102.367687,353.7809364
"Elizabeth, New Jersey",40.6639916,-74.2107006,345.930471
"Clarksville, Tennessee",36.5277607,-87.3588703,345.6333366
"Oceanside, California",33.1958696,-117.3794834,345.624091
"Columbia, Missouri",38.951883,-92.3337366,344.8875951
"Abilene, Texas",32.44645,-99.7475905,340.5602456
"Columbia, South Carolina",33.987454,-81.024864,338.7395562
"Gresham, Oregon",45.4997475,-122.4309766,333.1884688
"West Valley, Utah",40.6967254,-111.986821,332.7650768
"Tampa, Florida",27.9477595,-82.458444,332.4402462
"Columbus, Ohio",39.9622601,-83.0007065,329.4756228
"Chesapeake, Virginia",36.7183708,-76.2466798,329.0688155
"Everett, Washington",47.9673056,-122.201399,323.4363571
"Rio Rancho, New Mexico",35.269381,-106.632819,318.3013384
"Mesa, Arizona",33.4151117,-111.8314792,314.9618561
"San Diego, California",32.7174202,-117.1627728,314.5664552
"Sparks, Nevada",39.5404679,-119.7487235,313.9616249
"Lowell, Massachusetts",42.6414437,-71.3085329,310.0775194
"Charleston, South Carolina",32.7876012,-79.9402728,306.1339654
"West Covina, California",34.0686208,-117.9389526,302.6581703
"Bridgeport, Connecticut",41.1670412,-73.2048348,300.5704562
"North Las Vegas, Nevada",36.2005843,-115.121584,296.3639727
"Cambridge, Massachusetts",42.3750997,-71.1056157,295.811798
"Lincoln, Nebraska",40.8088861,-96.7077751,290.6660132
"Vista, California",33.2000368,-117.2425355,289.9494068
"Joliet, Illinois",41.5263603,-88.0840212,287.8797181
"Eugene, Oregon",44.0505054,-123.0950506,282.2744233
"El Monte, California",34.0751571,-118.036849,278.9064728
"Irving, Texas",32.8295183,-96.9442177,272.247323
"Green Bay, Wisconsin",44.5126379,-88.0125794,271.6082677
"Providence, Rhode Island",41.8239891,-71.4128343,270.0841457
"Richmond, Virginia",37.5385087,-77.43428,269.0185929
"Escondido, California",33.1216751,-117.0814849,265.1039487
"Chula Vista, California",32.6400541,-117.0841955,258.3539268
"Cedar Rapids, Iowa",41.9758872,-91.6704053,258.2311168
"Santa Clara, California",37.2333253,-121.6846349,249.6756479
"Burbank, California",34.1816482,-118.3258554,248.7757871
"San Angelo, Texas",31.4649685,-100.4405094,247.9306575
"Edinburg, Texas",26.3013982,-98.1624501,246.6444878
"West Jordan, Utah",40.6061337,-111.9395211,241.8082164
"El Paso, Texas",31.7865623,-106.441207,225.4880341
"Ann Arbor, Michigan",42.2681569,-83.7312291,224.5315304
"Westminster, Colorado",39.8366528,-105.0372046,224.2500561
"Henderson, Nevada",36.0301134,-114.9826194,223.7865876
"Lewisville, Texas",33.046233,-96.994174,222.8109265
"Fontana, California",34.0922335,-117.435048,218.1814848
"Laredo, Texas",27.5236998,-99.497352,207.5132557
"Arvada, Colorado",39.8005505,-105.0811573,205.5881115
"Lexington, Kentucky",38.0464066,-84.4970393,202.7571322
"Torrance, California",33.8358492,-118.3406288,201.1545136
"Hillsboro, Oregon",45.5228939,-122.989827,200.7907795
"Hampton, Virginia",37.0300969,-76.3452057,198.3612988
"Madison, Wisconsin",43.074761,-89.3837613,196.8452173
"Murrieta, California",33.560832,-117.2106564,194.3395426
"Thornton, Colorado",39.8695516,-104.985181,194.2851101
"Garland, Texas",32.912624,-96.6388833,189.4657067
"Fort Collins, Colorado",40.5508527,-105.0668085,179.2156679
"Olathe, Kansas",38.8838856,-94.81887,169.5660366
"Rochester, Minnesota",44.0234387,-92.4630182,168.28212
"Grand Prairie, Texas",32.7459645,-96.9977846,168.0809233
"Boise, Idaho",43.6166163,-116.200886,167.7432709
"Norman, Oklahoma",35.2225717,-97.4394816,167.3160309
"Fort Wayne, Indiana",41.0799898,-85.1386015,165.51523
"Sunnyvale, California",37.3688301,-122.036349,162.8589929
"Overland Park, Kansas",38.9742502,-94.6851702,160.5955544
"Peoria, Arizona",33.5806115,-112.237294,155.7312172
"Carlsbad, California",33.1580933,-117.3505966,151.7580788
"Carrollton, Texas",32.9537349,-96.8902816,149.6181913
"College Station, Texas",30.5955289,-96.3071042,149.1179917
"Jersey City, New Jersey",40.7215682,-74.047455,148.9755208
"Stamford, Connecticut",41.0534302,-73.5387341,148.9130106
"New Braunfels, Texas",29.7028266,-98.1257348,141.3962381
"Chandler, Arizona",33.3061605,-111.84125,138.7100675
"Scottsdale, Arizona",33.4942189,-111.9260184,137.8687685
"McAllen, Texas",26.204114,-98.2300605,134.5078049
"Orem, Utah",40.2981599,-111.6944313,130.9214471
"Sterling Heights, Michigan",42.5803122,-83.0302033,130.3909454
"Elk Grove, California",38.4087993,-121.3716178,128.9698533
"Round Rock, Texas",30.5085915,-97.6788056,121.189062
"Bellevue, Washington",47.6144219,-122.192337,119.8338304
"Davie, Florida",26.0628665,-80.2331038,116.6520852
"Plano, Texas",33.0136764,-96.6925096,114.4327937
"Bend, Oregon",44.0581728,-121.3153096,113.5138744
"Centennial, Colorado",39.579155,-104.8769227,110.6125055
"Lee's Summit, Missouri",38.9107156,-94.3821295,109.2480418
"Richardson, Texas",32.9481789,-96.7297206,109.0565792
"Surprise, Arizona",33.6292271,-112.3680189,103.5438038
"Sandy Springs, Georgia",33.9242688,-84.3785379,99.52211453
"Meridian, Idaho",43.6086295,-116.392326,98.62399798
"Broken Arrow, Oklahoma",36.0525993,-95.7908195,96.46871405
"League City, Texas",29.5074538,-95.0949303,90.76285732
"Alexandria, Virginia",38.8051095,-77.0470229,90.36688957
"Gilbert, Arizona",33.3527632,-111.7890373,82.06901858
"Lakewood Township, New Jersey",40.0978929,-74.2176435,77.28246742
"Virginia Beach, Virginia",36.8529841,-75.9774183,73.90394258
"Frisco, Texas",33.1506744,-96.8236116,72.83648658
"Concord, North Carolina",35.4094178,-80.5800049,72.54225835
"McKinney, Texas",33.1976496,-96.6154471,70.23471247
"Toms River Township, New Jersey",39.9435685,-74.173707,66.96584742
"Pearland, Texas",29.5639758,-95.2864299,66.15058709
"Sugar Land, Texas",29.6196787,-95.6349463,65.60796716
"Cary, North Carolina",35.7882893,-78.7812081,62.45252764
"Carmel, Indiana",39.9788017,-86.1189257,45.3930848
